ANode,BNode,LINK_TYPE,DISTANCE,ONE_WAY
1000,15728,5,0.4364,0
1000,1001,5,0.1356,0
1001,1852,5,0.3265,0
1001,1000,5,0.1356,0
1002,16238,3,0.8784,0
1002,1003,3,0.3633,0
1003,1004,3,0.1047,0
1003,1002,3,0.3633,0
1004,1005,3,0.8255,0
1004,1003,3,0.1047,0
1005,1006,3,0.8165,0
1005,1004,3,0.8255,0
1006,1009,3,0.5948,0
1006,1005,3,0.8165,0
1007,1020,3,0.4041,0
1007,1008,3,0.5665,0
1008,1009,3,0.1006,0
1008,1007,3,0.5665,0
1009,1008,3,0.1006,0
1009,1006,3,0.5948,0
1010,1046,3,0.8035,0
1010,1011,3,0.6810,0
1011,1013,4,0.1760,0
1011,1010,3,0.6810,0
1012,1018,4,0.1880,0
1012,1019,3,0.1897,0
1013,1014,4,0.1019,0
1013,1011,4,0.1760,0
1014,1017,4,0.0893,0
1014,1013,4,0.1019,0
1015,1018,4,0.1934,0
1015,1016,4,0.1043,0
1016,1017,4,0.0249,0
1016,1015,4,0.1043,0
1017,1016,4,0.0249,0
1017,1014,4,0.0893,0
1018,1015,4,0.1934,0
1018,1012,4,0.1880,0
1019,1020,3,0.2236,0
1019,1012,3,0.1897,0
1020,1019,3,0.2236,0
1020,1007,3,0.4041,0
1021,1023,3,0.3744,0
1021,1022,3,0.4786,0
1022,1027,3,0.0081,0
1022,1021,3,0.4786,0
1023,1063,3,0.2933,0
1023,1021,3,0.3744,0
1024,1026,4,0.0315,0
1024,1025,4,0.0251,0
1025,1042,4,0.0752,0
1025,1024,4,0.0237,0
1026,1024,4,0.0315,0
1026,1027,3,0.1626,0
1027,1026,3,0.1626,0
1027,1022,3,0.0081,0
1028,1034,4,0.0458,0
1028,1029,4,0.2240,0
1029,1032,4,0.1083,0
1029,1028,4,0.2240,0
1030,1043,4,0.1793,0
1030,1036,4,0.0418,0
1031,1043,4,0.0811,0
1031,1033,4,0.1622,0
1032,1041,4,0.0547,0
1032,1029,4,0.1083,0
1033,1038,4,0.0117,0
1033,1031,4,0.1622,0
1034,1035,4,0.0818,0
1034,1028,4,0.0458,0
1035,1036,4,0.0739,0
1035,1034,4,0.0818,0
1036,1035,4,0.0739,0
1036,1030,4,0.0418,0
1037,1040,4,0.0251,0
1037,1038,4,0.0360,0
1038,1037,4,0.0360,0
1038,1033,4,0.0117,0
1039,1054,4,0.2815,0
1039,1040,4,0.1255,0
1040,1039,4,0.1255,0
1040,1037,4,0.0251,0
1041,1042,4,0.0149,0
1041,1032,4,0.0547,0
1042,1041,4,0.0169,0
1042,1025,4,0.0752,0
1043,1031,4,0.0811,0
1043,1030,4,0.1793,0
1044,1048,3,0.0151,0
1044,1045,3,0.3930,0
1045,1049,3,0.1706,0
1045,1044,3,0.3930,0
1046,1047,3,0.4246,0
1046,1010,3,0.8035,0
1047,1048,3,0.2823,0
1047,1046,3,0.4246,0
1048,1047,3,0.2823,0
1048,1044,3,0.0151,0
1049,1053,8,0.1497,0
1049,1058,4,0.3122,0
1049,1045,3,0.1706,0
1050,1052,8,0.4471,0
1050,1051,8,0.4575,0
1051,1057,8,0.9043,0
1051,1050,8,0.4575,0
1052,1053,8,0.2307,0
1052,1050,8,0.4471,0
1053,1052,8,0.2307,0
1053,1049,8,0.1497,0
1054,1056,4,0.3376,0
1054,1039,4,0.2815,0
1055,1058,4,0.4417,0
1055,1056,4,0.0083,0
1056,1055,4,0.0083,0
1056,1054,4,0.3376,0
1057,1071,8,6.0580,0
1057,1051,8,0.9043,0
1058,1055,4,0.4417,0
1058,1049,4,0.3122,0
1059,1063,3,0.1945,0
1059,1060,3,0.0763,0
1060,1061,4,0.1052,0
1060,1059,3,0.0645,0
1061,1069,4,0.1724,0
1061,1060,4,0.0437,0
1062,1068,7,0.8552,0
1062,1067,7,0.1565,0
1063,1059,3,0.2301,0
1063,1023,3,0.2933,0
1064,1070,3,1.3527,0
1064,1065,3,0.0639,0
1065,1092,3,1.9678,0
1065,1064,3,0.0639,0
1066,1111,8,8.0303,0
1066,1067,7,0.5016,0
1067,1066,7,0.5016,0
1067,1062,7,0.1565,0
1068,1062,7,0.8552,0
1068,1070,3,0.5005,0
1068,1069,3,0.2223,0
1069,1061,4,0.0716,0
1069,1068,3,0.2630,0
1070,1068,3,0.4230,0
1070,1064,3,1.6003,0
1071,1072,8,0.1482,0
1071,1057,8,6.0580,0
1072,1073,8,1.9659,0
1072,1071,8,0.1482,0
1073,1072,8,1.9659,0
1073,1074,7,0.5240,0
1074,13489,7,0.9557,0
1074,1073,7,0.5240,0
1075,1101,3,1.5003,0
1075,1076,3,0.4552,0
1076,1082,3,0.6964,0
1076,1075,3,0.4552,0
1077,1084,3,1.0646,0
1077,1078,3,0.0615,0
1078,1079,3,0.2117,0
1078,1077,3,0.0615,0
1079,1080,3,0.0216,0
1079,1078,3,0.2117,0
1080,1085,3,0.4533,0
1080,1079,3,0.0216,0
1081,1083,3,0.0157,0
1081,1082,3,0.2892,0
1082,1081,3,0.2892,0
1082,1076,3,0.6964,0
1083,2755,3,0.4033,0
1083,1081,3,0.0157,0
1084,2759,3,0.0216,0
1084,1077,3,1.0646,0
1085,1086,3,0.4426,0
1085,1080,3,0.4533,0
1086,1087,3,0.3299,0
1086,1085,3,0.4426,0
1087,1088,3,0.1458,0
1087,1086,3,0.3299,0
1088,1093,3,0.5223,0
1088,1087,3,0.1458,0
1089,1102,3,0.2572,0
1089,1090,3,0.2924,0
1090,1092,4,0.1595,0
1090,1089,3,0.2924,0
1091,1094,3,0.2000,0
1091,1093,3,0.0635,0
1092,1090,4,0.1595,0
1092,1065,3,1.9678,0
1093,1091,3,0.0635,0
1093,1088,3,0.5223,0
1094,1099,3,0.1635,0
1094,1091,3,0.2000,0
1095,1098,3,0.1524,0
1095,1097,3,0.3741,0
1096,1100,3,0.0766,0
1096,1097,3,0.0749,0
1097,1096,3,0.0749,0
1097,1095,3,0.3741,0
1098,1099,3,0.4358,0
1098,1095,3,0.1524,0
1099,1098,3,0.4358,0
1099,1094,3,0.1635,0
1100,1105,3,0.3438,0
1100,1096,3,0.0766,0
1101,1104,3,0.0108,0
1101,1075,3,1.5003,0
1102,1103,3,0.0236,0
1102,1089,3,0.2572,0
1103,1104,3,0.0278,0
1103,1102,3,0.0236,0
1104,1103,3,0.0278,0
1104,1101,3,0.0108,0
1105,1106,3,0.3220,0
1105,1100,3,0.3438,0
1106,1107,3,0.8273,0
1106,1105,3,0.3220,0
1107,1110,3,0.2202,0
1107,1106,3,0.8273,0
1108,14032,3,2.2656,0
1108,1109,3,1.1825,0
1109,1110,3,0.0665,0
1109,1108,3,1.1825,0
1110,1109,3,0.0665,0
1110,1107,3,0.2202,0
1111,1112,8,0.2595,0
1111,1066,8,8.0303,0
1112,1115,8,0.0293,0
1112,1111,8,0.2595,0
1113,1117,8,0.0537,0
1113,1116,8,0.6472,0
1114,13800,8,1.0063,0
1114,1117,8,0.4471,0
1115,1116,8,0.3111,0
1115,1112,8,0.0293,0
1116,1115,8,0.3111,0
1116,1113,8,0.6472,0
1117,1114,8,0.4471,0
1117,1113,8,0.0537,0
1118,1120,1,0.5265,1
1119,1170,1,3.4859,1
1120,14278,1,4.0062,1
1121,1226,5,0.5717,0
1121,1122,5,0.9599,0
1122,4058,5,0.7610,0
1122,1121,5,0.9599,0
1123,1168,3,0.4664,0
1123,1167,3,0.4489,0
1124,1134,5,0.0204,1
1124,1168,3,0.4726,0
1125,1166,3,0.0804,0
1125,1127,3,0.0106,0
1126,1164,3,0.3193,0
1126,1127,3,0.2666,0
1127,1126,3,0.2666,0
1127,1125,3,0.0106,0
1128,56555,5,0.0665,0
1128,1130,5,0.0220,1
1129,1130,5,0.0378,1
1129,1128,5,0.0241,1
1130,1131,5,0.0153,1
1131,1134,5,0.0388,1
1131,1124,5,0.0229,1
1132,1135,5,0.0175,1
1133,1132,5,0.0321,1
1134,1141,5,0.0125,1
1135,1136,5,0.0367,1
1135,1162,2,0.4314,1
1136,1129,5,0.0163,1
1137,3448,1,0.8655,1
1138,1137,1,0.6780,1
1139,1144,1,0.7626,1
1140,1139,1,0.6736,1
1141,1142,5,0.0434,1
1142,1133,5,0.0175,1
1143,1138,1,0.6166,1
1144,1150,2,0.0867,1
1144,1153,1,0.0631,1
1145,1165,5,0.3571,0
1145,1147,5,0.4394,0
1146,1165,5,0.0468,0
1146,1148,5,0.3925,0
1147,1151,5,0.0361,0
1147,1145,5,0.4394,0
1148,1149,6,0.2363,0
1148,1146,5,0.3925,0
1149,1152,6,0.0591,0
1149,1148,6,0.2363,0
1150,1136,2,0.2932,1
1151,1160,5,0.0163,1
1151,1147,5,0.0361,0
1152,1180,6,0.1748,0
1152,1149,6,0.0591,0
1153,1162,1,0.2710,1
1154,1143,1,0.2181,1
1155,1156,5,0.0157,1
1155,56553,3,0.0162,0
1156,1159,5,0.0378,1
1157,1156,5,0.0268,1
1157,1155,5,0.0128,1
1158,1157,5,0.0433,1
1158,1143,2,0.3019,1
1159,1161,5,0.0087,1
1160,1158,5,0.0229,1
1161,1160,5,0.0300,1
1161,1151,5,0.0196,1
1162,1169,1,1.4966,1
1163,1159,2,0.3304,1
1163,1154,1,0.2411,1
1164,3453,3,0.0199,0
1164,1126,3,0.3193,0
1165,1146,5,0.0468,0
1165,1145,5,0.3571,0
1166,1167,3,0.0467,0
1166,1125,3,0.0804,0
1167,1166,3,0.0467,0
1167,1123,3,0.4489,0
1168,1124,3,0.4726,0
1168,1123,3,0.4664,0
1169,1118,1,3.4832,1
1170,1163,1,1.5205,1
1171,1226,5,4.1212,0
1171,1173,5,2.2677,0
1172,1225,6,0.0237,0
1172,1214,6,0.0583,0
1173,1214,6,0.3125,0
1173,1171,5,2.2677,0
1174,1220,6,0.0676,0
1174,1202,6,0.0101,0
1174,1185,6,0.0207,0
1175,1224,6,0.0447,0
1175,1177,6,0.0860,0
1176,1223,6,0.2106,0
1176,1183,6,0.1745,0
1177,1188,6,0.1992,0
1177,1175,6,0.0860,0
1178,1219,6,0.0635,0
1178,1179,6,0.1944,0
1179,1228,6,1.2605,0
1179,1178,6,0.1944,0
1180,1221,6,0.0467,0
1180,1152,6,0.1748,0
1181,1190,6,0.0708,0
1181,1182,6,0.0974,0
1182,1194,6,0.0115,0
1182,1181,6,0.0974,0
1183,1217,6,0.1077,0
1183,1176,6,0.1745,0
1184,1200,6,0.0316,0
1184,1185,6,0.1095,0
1185,1203,6,0.0098,0
1185,1184,6,0.1095,0
1185,1174,6,0.0207,0
1186,1215,6,0.0948,0
1186,1187,6,0.0593,0
1187,1225,6,0.1138,0
1187,1186,6,0.0593,0
1188,1218,6,0.1148,0
1188,1177,6,0.1992,0
1189,1222,6,0.0149,0
1189,1191,6,0.0221,0
1190,1193,6,0.0113,0
1190,1191,6,0.0360,1
1190,1181,6,0.0708,0
1191,1192,6,0.0120,0
1191,1189,6,0.0221,0
1192,1197,6,0.0352,0
1192,1193,6,0.0320,1
1192,1191,6,0.0120,0
1193,1211,6,0.0344,0
1193,1190,6,0.0113,0
1194,1216,6,0.0707,0
1194,1182,6,0.0115,0
1195,1206,6,0.0294,0
1195,1196,6,0.0807,0
1196,1201,6,0.0448,0
1196,1195,6,0.0807,0
1197,1207,6,0.0137,0
1197,1192,6,0.0352,0
1198,1220,6,0.1394,0
1198,1209,6,0.0131,0
1199,1210,6,0.0347,0
1199,1200,6,0.0493,0
1200,1199,6,0.0493,0
1200,1184,6,0.0316,0
1201,1215,6,0.0525,0
1201,1196,6,0.0448,0
1202,1204,6,0.0323,0
1202,1203,6,0.0213,0
1202,1174,6,0.0101,0
1203,1202,6,0.0213,0
1203,1185,6,0.0098,0
1204,1205,6,0.0366,0
1204,1203,6,0.0318,1
1204,1202,6,0.0323,0
1205,1206,6,0.0195,0
1205,1204,6,0.0366,0
1206,1205,6,0.0195,0
1206,1195,6,0.0294,0
1207,1209,6,0.0125,0
1207,1208,6,0.0235,0
1207,1197,6,0.0137,0
1208,1212,6,0.0045,0
1208,1210,6,0.0125,0
1208,1207,6,0.0235,0
1209,1210,6,0.0242,0
1209,1207,6,0.0125,0
1209,1198,6,0.0131,0
1210,1209,6,0.0242,0
1210,1208,6,0.0125,0
1210,1199,6,0.0347,0
1211,1212,6,0.0141,0
1211,1193,6,0.0344,0
1212,1211,6,0.0141,0
1212,1208,6,0.0045,0
1213,1222,6,0.0561,0
1213,1221,6,0.0145,0
1214,1173,6,0.3125,0
1214,1172,6,0.0583,0
1215,1201,6,0.0525,0
1215,1186,6,0.0948,0
1216,1217,6,0.0141,0
1216,1194,6,0.0707,0
1217,1216,6,0.0141,0
1217,1183,6,0.1077,0
1218,1219,6,0.0101,0
1218,1188,6,0.1148,0
1219,1218,6,0.0101,0
1219,1178,6,0.0635,0
1220,1198,6,0.1394,0
1220,1174,6,0.0676,0
1221,1213,6,0.0145,0
1221,1180,6,0.0467,0
1222,1213,6,0.0561,0
1222,1189,6,0.0149,0
1223,1224,6,0.0369,0
1223,1176,6,0.2106,0
1224,1223,6,0.0369,0
1224,1175,6,0.0447,0
1225,1187,6,0.1138,0
1225,1172,6,0.0237,0
1226,1171,5,4.1212,0
1226,1121,5,0.5717,0
1227,1232,5,0.5962,0
1227,1228,5,0.0465,0
1228,1179,6,1.2605,0
1228,1227,5,0.0465,0
1229,1233,5,1.8730,0
1229,1230,5,0.6221,0
1230,1231,5,0.1592,0
1230,1229,5,0.6221,0
1231,1232,5,0.1262,0
1231,1230,5,0.1592,0
1232,1231,5,0.1262,0
1232,1227,5,0.5962,0
1233,1234,5,1.3910,0
1233,1229,5,1.8730,0
1234,1236,5,0.0500,0
1234,1233,5,1.3910,0
1235,1237,5,2.5234,0
1235,1236,5,0.1424,0
1236,1235,5,0.1424,0
1236,1234,5,0.0500,0
1237,4283,6,6.1493,0
1237,1235,5,2.5234,0
1238,1269,4,0.2213,0
1238,1239,4,0.4458,0
1239,1342,4,0.3201,0
1239,1238,4,0.4458,0
1240,1275,4,0.1210,0
1240,1241,4,0.4741,0
1241,1340,4,0.0735,0
1241,1240,4,0.4741,0
1242,1342,4,0.0757,0
1242,1310,4,0.5127,0
1243,1309,4,0.4915,0
1243,1244,4,0.0441,0
1244,1243,4,0.0441,0
1244,1245,3,0.0151,0
1245,1308,3,0.2164,0
1245,1244,3,0.0153,0
1246,1345,6,0.0523,0
1246,1276,6,0.2968,0
1247,1306,6,0.2758,0
1247,1297,6,0.0199,1
1248,1276,6,0.1275,0
1248,1249,6,0.4633,0
1249,1295,6,0.0451,0
1249,1248,6,0.4633,0
1250,1264,6,0.1294,0
1250,1263,6,0.3133,0
1251,1258,6,0.1327,0
1251,1252,6,0.1618,0
1252,1287,6,0.0604,1
1252,1251,6,0.1618,0
1253,1336,4,0.0851,0
1253,1254,4,0.2065,0
1254,1275,4,0.1277,0
1254,1274,4,0.0698,0
1254,1253,4,0.2065,0
1255,1344,4,0.0358,0
1255,1309,4,0.1387,0
1256,1298,6,0.1854,0
1256,1257,6,0.0281,0
1257,1307,6,0.1995,0
1257,1256,6,0.0281,0
1258,1291,6,0.0311,0
1258,1251,6,0.1327,0
1259,1285,6,0.0284,1
1259,1260,6,0.1371,0
1260,1296,6,0.1632,0
1260,1259,6,0.1371,0
1261,1296,6,0.1023,0
1261,1262,6,0.0459,0
1262,1263,6,0.1482,0
1262,1261,6,0.0459,0
1263,1262,6,0.1482,0
