SName,TIPLOC,Alpha,Data_Source,EASTING,NORTHING,Cube_Node
"""HARTLEPOOL BSC 20"""" MILL""",HRTL20,0,MCA,450623,528882,999999
"""ROUNDWOOD B.S.C. 11"""" MILL""",ALDWRML,0,MCA,445099,395951,999999
ABBEY STREET JUNCTION,LNDNASJ,0,MCA,534027,179304,999999
ABBEY WOOD (LONDON),ABWD,ABW,MSN,547255,179028,999999
ABBEYHILL JN,ABHLJN,0,MCA,326853,674149,888888
ABBEYHILL TURNBACK SDGS,ABHLTB,0,MCA,326853,674149,888888
ABBOTS RIPTON,CNNGABR,0,MCA,522641,277644,999999
ABBOTSWOOD JN,ABTSWDJ,0,MCA,388937,249903,999999
ABER,ABER,ABE,MSN,314871,186941,999999
ABER GROUND FRAME,LANFABR,0,MCA,265469,373384,999999
ABERAIDEN SOUTH,MLPTABS,0,MCA,284278,183594,999999
ABERBEEG,ABRBEG,0,MCA,320980,201995,999999
ABERCYNON,ABRCYNS,ACY,MSN,308114,194672,999999
ABERCYNON JUNCTION,ABRCJN,0,MCA,308283,194876,999999
ABERCYNON SIGNAL A187,ABRC187,0,MCA,308283,194876,999999
ABERDEEN,ABRDEEN,ABD,MSN,394210,805692,100048
ABERDEEN CLAYHILLS CAR.M.D,ABRDCH,0XA,MCA,394149,805585,888888
ABERDEEN CRAIGINCH LAFARGE,CRGICBC,0,MCA,395026,804204,888888
ABERDEEN CRAIGINCHES (DRS),CRGIDRS,0,MCA,394141,805648,888888
ABERDEEN CRAIGINCHES FHH,CRGIFHH,0,MCA,395025,804204,888888
ABERDEEN CRAIGINCHES T.C.,CRGICHY,0,MCA,394584,804177,888888
ABERDEEN FERRYHILL DN SDGS,ABRDFDS,0,MCA,394130,804651,888888
ABERDEEN FERRYHILL G.L.,ABRDFGL,0,MCA,394181,805683,888888
ABERDEEN FERRYHILL JN,ABRDFJN,0,MCA,394191,804935,888888
ABERDEEN FERRYHILL UP SDGS,ABRDFUS,0,MCA,394223,805239,888888
