ANode,BNode,LINK_TYPE,DISTANCE,ONE_WAY
100000,100001,11,16.1089,0
100000,100028,11,8.91552,0
100001,100000,11,16.1089,0
100001,100040,11,12.0398,0
100002,100005,11,7.07239,0
100002,100040,11,2.87434,0
100003,100004,11,12.2015,0
100003,100006,11,11.6264,0
100004,100003,11,12.2015,0
100004,100008,11,13.0341,0
100005,100002,11,7.07239,0
100005,100007,11,17.6503,0
100006,100003,11,11.6264,0
100006,100007,11,15.3702,0
100007,100005,11,17.6503,0
100007,100006,11,15.3702,0
100008,100004,11,13.0341,0
100008,100009,11,14.5397,0
100009,100008,11,14.5397,0
100009,100010,11,6.83433,0
100010,100009,11,6.83433,0
100010,100011,11,10.6391,0
100010,100012,11,22.86,0
100011,100010,11,10.6391,0
100012,100010,11,22.86,0
100013,100015,11,6.49064,0
100014,100015,11,2.2747,0
100014,100017,11,1.81711,0
100015,100013,11,6.49064,0
100015,100014,11,2.2747,0
100016,100017,11,6.37207,0
100016,100018,11,7.96578,0
100017,100014,11,1.81711,0
100017,100016,11,6.37207,0
100018,100016,11,7.96578,0
100018,100019,11,3.75286,0
100019,100018,11,3.75286,0
100019,100020,11,8.8091,0
100020,100019,11,8.8091,0
100020,100021,11,20.2246,0
100021,100020,11,20.2246,0
100021,100022,11,10.3882,0
100022,100021,11,10.3882,0
100022,100023,11,6.895,0
100023,100022,11,6.895,0
100023,100024,11,8.5949,0
100024,100023,11,8.5949,0
100024,100027,11,18.6282,0
100025,100026,11,4.79528,0
100025,100030,11,15.8188,0
100026,100025,11,4.79528,0
100026,100700,11,5.2243,0
100027,100024,11,18.6282,0
100027,100031,11,15.4685,0
100027,100384,11,0.44041,0
100028,100000,11,8.91552,0
100028,100029,11,0.69468,0
100029,100028,11,0.69468,0
100029,100032,11,5.04128,0
100030,100025,11,15.8188,0
100030,100380,11,0.27605,0
100030,100381,11,0.51126,0
100031,100027,11,15.4685,0
100031,100034,11,4.54044,0
100032,100029,11,5.04128,0
100032,100035,11,21.7975,0
100033,100036,11,18.9507,0
100033,100079,11,4.62479,0
100034,100031,11,4.54044,0
100034,100039,11,14.8954,0
100035,100032,11,21.7975,0
100035,100039,11,5.85523,0
100036,100033,11,18.9507,0
100036,100037,11,10.6984,0
100037,100036,11,10.6984,0
100037,100382,11,43.9649,0
100038,100041,11,15.368,0
100038,100382,11,23.257,0
100039,100034,11,14.8954,0
100039,100035,11,5.85523,0
100040,100001,11,12.0398,0
100040,100002,11,2.87434,0
100041,100038,11,15.368,0
100041,100042,11,19.7024,0
100042,100041,11,19.7024,0
100042,100043,11,29.1089,0
100043,100042,11,29.1089,0
100043,100044,11,20.0572,0
100044,100043,11,20.0572,0
100044,100045,11,21.4028,0
100045,100044,11,21.4028,0
100045,100046,11,17.0987,0
100046,100045,11,17.0987,0
100046,100047,11,17.1738,0
100047,100046,11,17.1738,0
100047,100048,11,10.0377,0
100048,100047,11,10.0377,0
100048,100101,11,13.1908,0
100049,100050,11,7.6332,0
100049,100053,11,5.48075,0
100050,100049,11,7.6332,0
100050,100051,11,4.4041,0
100051,100050,11,4.4041,0
100052,100053,11,7.66482,0
100052,100055,11,14.6557,0
100053,100049,11,5.48075,0
100053,100052,11,7.66482,0
100054,100056,11,9.92899,0
100055,100052,11,14.6557,0
100055,100057,11,10.8462,0
100056,100054,11,9.92899,0
100056,100059,11,10.816,0
100057,100055,11,10.8462,0
100057,100060,11,6.00567,0
100058,100059,11,9.46987,0
100058,100062,11,5.2164,0
100059,100056,11,10.816,0
100059,100058,11,9.46987,0
100060,100057,11,6.00567,0
100060,100061,11,4.7514,0
100061,100060,11,4.7514,0
100061,100065,11,1.63945,0
100062,100058,11,5.2164,0
100062,100063,11,4.2636,0
100063,100062,11,4.2636,0
100063,100072,11,19.4807,0
100064,100065,11,2.51427,0
100064,100066,11,13.0923,0
100064,100385,11,1.03182,0
100065,100061,11,1.63945,0
100065,100064,11,2.51427,0
100066,100064,11,13.0923,0
100066,100067,11,5.24839,0
100067,100066,11,5.24839,0
100067,100075,11,9.07053,0
100068,100069,11,12.8417,0
100068,100126,11,17.1847,0
100069,100068,11,12.8417,0
100069,100386,11,14.1145,0
100070,100071,11,7.91158,0
100070,100072,11,8.2765,0
100070,100386,11,0.13916,0
100071,100070,11,7.91158,0
100071,100073,11,12.1062,0
100072,100063,11,19.4807,0
100072,100070,11,8.2765,0
100073,100071,11,12.1062,0
100073,100076,11,25.1779,0
100074,100075,11,16.1939,0
