Node,Type
100000,R
100001,R
100002,R
100003,R
100004,R
100005,R
100006,R
100007,R
100008,R
100009,R
100010,R
100011,R
100012,R
100013,R
100014,R
100015,R
100016,R
100017,R
100018,R
100019,R
100020,R
100021,R
100022,R
100023,R
100024,R
100025,R
100026,R
100027,R
100028,R
100029,R
100030,R
100031,R
100032,R
100033,R
100034,R
100035,R
100036,R
100037,R
100038,R
100039,R
100040,R
100041,R
100042,R
100043,R
100044,R
100045,R
100046,R
100047,R
100048,R
100049,R
100050,R
100051,R
100052,R
100053,R
100054,R
100055,R
100056,R
100057,R
100058,R
100059,R
100060,R
100061,R
100062,R
100063,R
100064,R
100065,R
100066,R
100067,R
100068,R
100069,R
100070,R
100071,R
100072,R
100073,R
100074,R
100075,R
100076,R
100077,R
100078,R
100079,R
100080,R
100081,R
100082,R
100083,R
100084,R
100085,R
100086,R
100087,R
100088,R
100089,R
100090,R
100091,R
100092,R
100093,R
100094,R
100095,R
100096,R
100097,R
100098,R
100099,R
100100,R
100101,R
100102,R
100103,R
100104,R
100105,R
100106,R
100107,R
100108,R
100109,R
100110,R
100111,R
100112,R
100113,R
100114,R
100115,R
100116,R
100117,R
100118,R
100119,R
100120,R
100121,R
100122,R
100123,R
100124,R
100125,R
100126,R
100127,R
100128,R
100129,R
100130,R
100131,R
100132,R
100133,R
100134,R
100135,R
100136,R
100137,R
100138,R
100139,R
100140,R
100141,R
100142,R
100143,R
100144,R
100145,R
100146,R
100147,R
100148,R
100149,R
100150,R
100151,R
100152,R
100153,R
100154,R
100155,R
100156,R
100157,R
100158,R
100159,R
100160,R
100161,R
100162,R
100163,R
100164,R
100165,R
100166,R
100167,R
100168,R
100169,R
100170,R
100171,R
100172,R
100173,R
100174,R
100175,R
100176,R
100177,R
100178,R
100179,R
100180,R
100181,R
100182,R
100183,R
100184,R
100185,R
100186,R
100187,R
100188,R
100189,R
100190,R
100191,R
100192,R
100193,R
100194,R
100195,R
100196,R
100197,R
100198,R
100199,R
100200,R
100201,R
100202,R
100203,R
100204,R
100205,R
100206,R
100207,R
100208,R
100209,R
100210,R
100211,R
100212,R
100213,R
100214,R
100215,R
100216,R
100217,R
100218,R
100219,R
100220,R
100221,R
100222,R
100223,R
100224,R
100225,R
100226,R
100227,R
100228,R
100229,R
100230,R
100231,R
100232,R
100233,R
100234,R
100235,R
100236,R
100237,R
100238,R
100239,R
100240,R
100241,R
100242,R
100243,R
100244,R
100245,R
100246,R
100247,R
100248,R
100249,R
100250,R
100251,R
100252,R
100253,R
100254,R
100255,R
100256,R
100257,R
100258,R
100259,R
100260,R
100261,R
100262,R
100263,R
100264,R
100265,R
100266,R
100267,R
100268,R
100269,R
100270,R
100271,R
100272,R
100273,R
100274,R
100275,R
100276,R
100277,R
100278,R
100279,R
100280,R
100281,R
100282,R
100283,R
100284,R
100285,R
100286,R
100287,R
100288,R
100289,R
100290,R
100291,R
100292,R
100293,R
100294,R
100295,R
100296,R
100297,R
100298,R
100299,R
100300,R
100301,R
100302,R
100303,R
100304,R
100305,R
100306,R
100307,R
100308,R
100309,R
100310,R
100311,R
100312,R
100313,R
100314,R
100315,R
100316,R
100317,R
100318,R
100319,R
100320,R
100321,R
100322,R
100323,R
100324,R
100325,R
100326,R
100327,R
100328,R
100329,R
100330,R
100331,R
100332,R
100333,R
100334,R
100335,R
100336,R
100337,R
100338,R
100339,R
100340,R
100341,R
100342,R
100343,R
100344,R
100345,R
100346,R
100347,R
100348,R
100349,R
100350,R
100351,R
100352,R
100353,R
100354,R
100355,R
100356,R
100357,R
100358,R
100359,R
100360,R
100361,R
100362,R
100363,R
100364,R
100365,R
100366,R
100367,R
100368,R
100369,R
100370,R
100371,R
100372,R
100373,R
100374,R
100375,R
100376,R
100377,R
100378,R
100379,R
100380,R
100381,R
100382,R
100383,R
100384,R
100385,R
100386,R
100387,R
100388,R
100389,R
100390,R
100391,R
100392,R
100393,R
100394,R
100395,R
100396,R
100397,R
100398,R
100399,R
100400,R
100401,R
100402,R
100403,R
100404,R
100405,R
100406,R
100407,R
100408,R
100409,R
100410,R
100411,R
100412,R
100413,R
100414,R
100415,R
100416,R
100417,R
100418,R
100419,R
100420,R
100421,R
100422,R
100423,R
100424,R
100425,R
100426,R
100427,R
100428,R
100429,R
100430,R
100431,R
100432,R
100433,R
100434,R
100435,R
100436,R
100437,R
100438,R
100439,R
100440,R
100441,R
100442,R
100443,R
100444,R
100445,R
100446,R
100447,R
100448,R
100500,R
100600,R
100601,R
100602,R
100700,R
100750,R
100751,R
100752,R
100753,R
100754,R
100755,R
100756,R
100800,R
101000,R
150000,R
150001,R
150002,R
150003,R
150004,R
150005,R
150006,R
150007,R
150008,R
150009,R
150010,R
150011,R
150012,R
150013,R
150014,R
100757,R
100758,R
100999,R
