ATCOCode,Node
630030262,42874
630030141,43597
630030132,43610
630030131,43611
630030112,43845
630030161,43595
630030152,43592
630030151,43592
630030142,43597
630030181,43582
630030172,43591
630030171,43593
630030162,43595
630030201,42784
630030192,42778
630030191,42765
630030182,43582
630030396,42802
630030395,42912
630030394,42802
630030393,42802
630030431,43311
630030421,42854
630030411,42854
630030401,42842
630030471,41248
630030461,41262
630030451,43353
630030441,43352
630030492,41239
630030491,41239
630030481,41245
630030472,41248
630030312,42907
630030311,42839
630030300,42837
630030291,42834
630030332,42882
630030331,42883
630030322,42857
630030321,42857
630030362,42893
630030351,42910
630030342,42841
630030341,42840
630030392,42828
630030391,42828
630030381,42829
630030371,42855
630030624,44185
630030623,44184
630030622,44187
630030621,44198
630030634,44193
630030633,44197
630030632,44196
630030631,44198
630030662,43630
630030661,43628
630030642,44215
630030641,44215
630030681,43365
630030674,43642
630030672,43624
630030671,43625
630030521,42054
630030512,42026
630030511,42042
630030501,41464
630030561,42312
630030551,42895
630030541,43876
630030531,42307
630030591,44217
630030582,44520
630030581,44520
630030571,42314
630030612,44519
630030611,44519
630030601,41792
630030592,44217
630030812,42631
630030811,42631
630030802,43214
630030801,43206
630030816,42671
630030815,42671
630030814,42754
630030813,42754
630030821,42755
630030819,42684
630030818,42767
630030817,42767
630030833,42676
630030832,42676
630030831,42755
630030822,42684
630030712,43665
630030711,43651
630030701,43643
630030691,43369
630030741,42749
630030732,43913
630030731,43913
630030721,43931
630030771,43675
630030761,43678
630030751,43950
630030742,42749
630030792,43200
630030791,43200
630030782,43182
630030781,43182
630023971,42969
630023801,43390
630023791,43411
630023781,43412
630024321,44882
630024291,43470
630023981,42394
630023972,42967
630024541,44660
630024521,44661
630024331,44882
630024322,44882
630024581,42187
630024572,42205
630024571,42205
630024551,44660
630023702,42361
630023701,42356
630023691,43425
630023681,42152
630023722,43440
630023721,43440
630023712,43431
630023711,43431
630023751,43405
630023741,43027
630023732,43433
630023731,43433
630023772,43409
630023771,43409
630023761,43403
630023752,43405
630024811,44617
630024801,44352
630024791,44352
630024742,44117
630024851,44869
630024841,44656
630024831,44587
630024821,44355
630024872,44115
630024871,44115
630024862,44471
