O_TIPLOC,D_TIPLOC,PERIOD,SEATS,CRUSH
Aberdeen,Dyce,PM,189,273
Aberdeen,Edinburgh,AM,189,273
Aberdeen,Edinburgh,IP,189,273
Aberdeen,Glasgow queen street,AM,189,273
Aberdeen,Glasgow queen street,IP,189,273
Aberdeen,Glasgow queen street,PM,189,273
Aberdeen,Inverness,AM,136,172
Aberdeen,Inverness,IP,183,240
Aberdeen,Inverness,PM,272,344
Aberdeen,Inverurie,IP,189,273
Aberdeen,Inverurie,PM,204,258
Aberdeen,Stonehaven,PM,189,273
Airdrie,Balloch,AM,300,422
Airdrie,Balloch,IP,300,422
Airdrie,Balloch,PM,300,422
Alloa,Edinburgh,AM,272,344
Alloa,Glasgow queen street,AM,304,399
Alloa,Glasgow queen street,IP,155,207
Alloa,Glasgow queen street,PM,174,221
Anderston,Carstairs,PM,315,421
Anniesland,Glasgow queen street,AM,141,179
Anniesland,Glasgow queen street,IP,143,182
Anniesland,Glasgow queen street,PM,145,185
Arbroath,Edinburgh,PM,189,273
Ardrossan harbour,Glasgow central,AM,208,322
Ardrossan harbour,Glasgow central,IP,245,378
Ardrossan harbour,Glasgow central,PM,263,406
Ardrossan town,Glasgow central,AM,282,434
Auchinleck,Glasgow central,IP,145,185
Ayr,Edinburgh,AM,282,434
Ayr,Edinburgh,IP,282,434
Ayr,Girvan,IP,145,185
Ayr,Girvan,PM,145,185
Ayr,Glasgow central,AM,322,497
Ayr,Glasgow central,IP,232,359
Ayr,Glasgow central,PM,302,466
Ayr,North berwick,IP,282,434
Ayr,Stranraer,AM,145,185
Balloch,Airdrie,AM,300,422
Balloch,Airdrie,IP,300,422
Balloch,Airdrie,PM,300,422
Barrhead,Glasgow central,AM,174,222
Barrhead,Glasgow central,IP,145,185
Barrhead,Glasgow central,PM,145,185
Birmingham new street,Edinburgh,AM,297,411
Birmingham new street,Edinburgh,IP,297,411
Birmingham new street,Edinburgh,PM,297,411
Birmingham new street,Glasgow central,AM,297,411
Birmingham new street,Glasgow central,IP,297,411
Birmingham new street,Glasgow central,PM,297,411
Carlisle,Dumfries,IP,145,185
Carlisle,Dumfries,PM,145,185
Carlisle,Glasgow central,IP,145,185
Carlisle,Glasgow central,PM,145,185
Carstairs,Garscadden,AM,315,421
Cowdenbeath,Edinburgh,IP,136,172
Cowdenbeath,Edinburgh,PM,136,172
Crianlarich,Mallaig,IP,290,370
Crosshill,Glasgow central,IP,212,282
Cumbernauld,Dalmuir,AM,350,468
Cumbernauld,Dalmuir,IP,280,374
Cumbernauld,Dalmuir,PM,350,468
Cumbernauld,Dumbarton central,AM,205,281
Cumbernauld,Dumbarton central,IP,205,281
Cumbernauld,Dumbarton central,PM,205,281
Dalmally,Oban,PM,145,185
Dalmuir,Balloch,AM,210,281
Dalmuir,Helensburgh central,AM,362,566
Dalmuir,Larkhall,AM,275,375
Dalmuir,Larkhall,IP,295,398
Dalmuir,Larkhall,PM,315,421
Dalmuir,Motherwell,AM,350,468
Dalmuir,Motherwell,IP,280,374
Dalmuir,Motherwell,PM,350,468
Dalmuir,Whifflet,AM,210,281
Dalmuir,Whifflet,IP,350,468
Dalmuir,Whifflet,PM,210,281
Dingwall,Inverness,IP,136,172
Dumbarton central,Cumbernauld,AM,205,281
Dumbarton central,Cumbernauld,IP,205,281
Dumbarton central,Cumbernauld,PM,205,281
Dumfries,Carlisle,AM,145,185
Dumfries,Carlisle,IP,145,185
Dumfries,Carlisle,PM,145,185
Dumfries,Newcastle,AM,145,185
Dunbar,Edinburgh,IP,326,504
Dunbar,Edinburgh,PM,282,434
Dunblane,Edinburgh,AM,186,248
Dunblane,Edinburgh,IP,187,267
Dunblane,Edinburgh,PM,218,298
Dunblane,Glasgow queen street,AM,136,172
Dunblane,Glasgow queen street,IP,175,247
Dunblane,Glasgow queen street,PM,198,282
Dunblane,Stirling,PM,189,273
Dundee,Edinburgh,AM,237,333
Dundee,Edinburgh,IP,181,257
Dundee,Edinburgh,PM,174,242
Dundee,Glasgow queen street,AM,189,273
Dundee,Glasgow queen street,IP,193,277
Dunfermline queen margaret,Edinburgh,AM,189,273
Dyce,Edinburgh,PM,189,273
Dyce,Glasgow queen street,AM,189,273
East kilbride,Glasgow central,AM,344,439
East kilbride,Glasgow central,IP,145,185
East kilbride,Glasgow central,PM,290,370
Edinburgh,Aberdeen,IP,189,273
Edinburgh,Aberdeen,PM,189,273
Edinburgh,Alloa,PM,272,344
Edinburgh,Ayr,IP,282,434
Edinburgh,Ayr,PM,282,434
Edinburgh,Birmingham new street,AM,297,411
Edinburgh,Birmingham new street,IP,297,411
Edinburgh,Birmingham new street,PM,297,411
Edinburgh,Cowdenbeath,AM,136,172
