ATCOCode,NAME
6400PT1907,Angus
6400PT1975,Angus
6400PT1976,Angus
6400L00078,Angus
640012280,Angus
6400L00041,Angus
6400PT1943,Angus
6400PT1973,Angus
6490IM562,Angus
6490IM563,Angus
6490IM564,Angus
6490IM565,Angus
6490TX005,Angus
6490IM1240,Angus
6490IM1241,Angus
6490IM1242,Angus
6490IM1243,Angus
6490IM558,Angus
6490IM561,Angus
6490IM1072,Angus
6490IM1082,Angus
6490IM208,Angus
6490IM209,Angus
6490IM662,Angus
6490IM872,Angus
6490IM873,Angus
6490IM874,Angus
6490IM877,Angus
6490IM878,Angus
6490IM2361,Angus
6490IM2362,Angus
6490IM868,Angus
6490IM869,Angus
6490IM870,Angus
6490IM871,Angus
6490IM1178,Angus
6490IM543,Angus
6490IM302,Angus
6490IM313,Angus
6490IM323,Angus
6490IM328,Angus
6490IM329,Angus
6490IM1179,Angus
6490IM880,Angus
6490IM881,Angus
6490IM883,Angus
6490IM886,Angus
6490IM888,Angus
6490IM1453,Angus
6490IM1454,Angus
6490IM210,Angus
6490IM211,Angus
6490IM1083,Angus
6490IM1084,Angus
6490IM1095,Angus
6490IM1096,Angus
6490IM9074,Angus
6490IM604,Angus
6490IM605,Angus
6490IM616,Angus
6490IM617,Angus
6490IM621,Angus
6490IM1246,Angus
6490IM1247,Angus
6490IM1249,Angus
6490IM1250,Angus
6490IM1251,Angus
6490IM1252,Angus
6490IM1412,Angus
6490IM674,Angus
6490IM676,Angus
6490IM677,Angus
6490IM678,Angus
6490IM1177,Angus
6490IM212,Angus
6490IM1300,Angus
6490IM1985,Angus
6490IM073,Angus
6490IM074,Angus
6490IM1201,Angus
6490IM855,Angus
6490IM856,Angus
6490IM538,Angus
6490IM867,Angus
6490IM2563,Angus
6490IM2564,Angus
6490IM2565,Angus
6490IM2566,Angus
6490IM263,Angus
6490IM273,Angus
6490IM2814,Angus
6490IM283,Angus
6490IM858,Angus
6490IM859,Angus
6490IM860,Angus
6490IM861,Angus
6490IM387,Angus
6490IM388,Angus
6490IM1287,Angus
6490IM594,Angus
6490IM595,Angus
6490IM1500,Angus
6490IM1501,Angus
6490IM1502,Angus
