ATCOCode,Node
090002433757,55475
090033104077,55495
090033104078,55495
090002394177,3780
090033103982,55494
090033104021,55495
090033104032,55494
090033104046,55495
090033104047,55495
090033154154,55487
090033194135,55511
090033234152,55494
090033234205,55494
090033104069,55495
090033104070,55495
090033104133,55494
090033104141,55494
090033104142,55496
090033104144,55496
090033104145,55496
090033104207,55494
090033104208,55494
090033104209,55494
090033104085,55495
090033104086,55496
090033104087,55496
090033104088,55495
090002234249,55475
090002234250,55475
090002564178,55487
090002564179,55487
090033103977,55494
090033103978,55494
090033103979,55494
090033103980,55494
090033103981,55494
090033014148,55492
090033014149,55492
090033014151,55492
090033014196,55466
090033234206,55494
090033104067,55495
090033104068,55495
090033104233,55495
090033104239,55497
090033104240,55495
090033104241,55496
090033414220,55520
090033104104,55495
090033104105,55495
090033104079,55495
090033104080,55495
090033104081,55495
090033104082,55495
090033104083,55495
090033104084,55495
090033104071,55495
090033104072,55495
090033104066,55495
090033374139,55496
090033444146,55497
090033444147,55497
090002394176,3780
090033103976,55494
090033414221,55520
090033444237,55496
090033444238,55496
090033064235,55520
090033064236,55520
090033103968,55497
090033103970,55494
090033103971,55494
090033103973,55494
090033103974,55494
090033103975,55494
090033104106,55495
090033104107,55495
090033104108,55495
090033104110,55496
090033104111,55496
090033104112,55496
090033104113,55496
090033104060,55495
090033104061,55495
090033104062,55495
090033104063,55495
090033104064,55495
090033104065,55495
090033104114,55497
090033104053,55495
090033104054,55495
090033104055,55495
090033104056,55497
090033104057,55495
090033104059,55495
090074294159,55497
090074294160,55497
090002444248,55475
090002593899,55470
090033074182,55494
090033074183,55494
090033074184,55487
090002124166,55475
090002224174,55478
090033104089,55495
090033104090,55497
090033104095,55495
090033104096,55495
090033104097,55495
090033104098,55495
090033104103,55495
090033104118,55495
090033104119,55495
090033104125,55495
090033104126,55495
090033104127,55496
090033104128,55494
090033104130,55494
090033104131,55494
090033104073,55495
090033104074,55495
090033104075,55495
090033104076,55495
090002011361,55487
090002011394,55487
090002011442,55487
090002011529,55487
090002011800,55487
090002012299,55487
090002021350,55475
090002021910,55487
090002031404,55475
090002041827,55475
090002091682,55477
090002092372,55477
090002092375,55475
090002100600,55487
090002102837,55487
090002011459,55487
090002134619,3649
090033364695,55497
090033394636,55520
090033234820,55494
090002044805,55475
090002184345,55475
090002254329,55475
090033104850,55495
090002035051,55475
090033064373,55518
090002574361,55474
090002574362,55474
090002594343,55471
090002594346,55471
090002594347,55471
090002594426,55470
090002594428,55470
090002594429,55474
090002594504,55471
090002235023,55475
090002235024,55475
