SName,TIPLOC,Alpha,Cube Node,NAME,LA,X,Y
LAIRG,LAIRG,LRG,100000,Lairg,0,258249,903901
ROGART,ROGART,ROG,100001,Rogart,0,272489,901969
DUNROBIN CASTLE,DNROBIN,DNO,100002,Dunrobin Castle,0,284855,901251
KINBRACE,KINBRAC,KBC,100003,Kinbrace,0,286192,931625
FORSINARD,FORSNRD,FRS,100004,Forsinard,0,289091,942497
BRORA,BRORA,BRA,100005,Brora,0,290658,904133
KILDONAN,KILDONN,KIL,100006,Kildonan,0,290153,921767
HELMSDALE,HELMSDL,HMS,100007,Helmsdale,0,302316,915560
ALTNABREAC,ALTNBRC,ABC,100008,Altnabreac,0,300349,945685
SCOTSCALDER,SCSCLDR,SCT,100009,Scotscalder,0,309553,955990
GEORGEMAS JUNCTION,GRGMASJ,GGJ,100010,Georgemas Junction,0,315471,959269
THURSO,THURSO,THS,100011,Thurso,0,311293,967899
WICK,WICK,WCK,100012,Wick,0,336025,950890
KYLE OF LOCHALSH,KYLELSH,KYL,100013,Kyle of Lochalsh,0,176245,827138
PLOCKTON,PLOCKTN,PLK,100014,Plockton,0,179435,832934
DUIRINISH,DUIRNSH,DRN,100015,Duirinish,0,177853,831525
STROMEFERRY,STRMFRY,STF,100016,Stromeferry,0,186530,834639
DUNCRAIG,DUNCRAG,DCG,100017,Duncraig,0,181175,833184
ATTADALE,ATADALE,ATT,100018,Attadale,0,192461,839088
STRATHCARRON,STCN,STC,100019,Strathcarron,0,194246,842156
ACHNASHELLACH,ACHHSHL,ACH,100020,Achnashellach,0,200299,848445
ACHNASHEEN,ACHNSHN,ACN,100021,Achnasheen,0,216423,858538
ACHANALT,ACHANLT,AAT,100022,Achanalt,0,226021,861475
LOCHLUICHART,LCHLCHR,LCC,100023,Lochluichart,0,232321,862560
GARVE,GARVE,GVE,100024,Garve,0,239502,861308
BEAULY,BEAULY,BEL,100025,Beauly,0,252104,845707
MUIR OF ORD,MUROORD,MOO,100026,Muir of Ord,0,252748,850115
INVERSHIN,INVRSHN,INH,100028,Invershin,0,257966,895334
CULRAIN,CULRAIN,CUA,100029,Culrain,0,257675,894751
ALNESS,ALNESS,ASS,100031,Alness,0,265987,869403
ARDGAY,ARDGAY,ARD,100032,Ardgay,0,260056,890400
KINGUSSIE,KGUSSIE,KIN,100033,Kingussie,0,275638,800405
INVERGORDON,IVRGRD,IGD,100034,Invergordon,0,270423,868656
TAIN,TAIN,TAI,100035,Tain,0,278177,882396
AVIEMORE,AVIEMRE,AVM,100036,Aviemore,0,289581,812350
CARRBRIDGE,CARRBDG,CAG,100037,Carrbridge,0,289888,822457
NAIRN,NAIRN,NRN,100038,Nairn,0,288127,855986
FEARN,FEARN,FRN,100039,Fearn,0,281482,878170
GOLSPIE,GOLSPIE,GOL,100040,Golspie,0,282529,899712
FORRES,FORRES,FOR,100041,Forres,0,302956,858926
ELGIN,ELGIN,ELG,100042,Elgin,0,321819,862187
KEITH,KEITH,KEH,100043,Keith,0,342982,851659
HUNTLY,HNTL,HNT,100044,Huntly,0,353522,839594
INSCH,INSCH,INS,100045,Insch,0,362999,827581
INVERURIE,INVURIE,INR,100046,Inverurie,0,377569,821851
DYCE,DYCE,DYC,100047,Dyce,0,388458,812783
ABERDEEN,ABRDEEN,ABD,100048,Aberdeen,0,394132,805809
ARISAIG,ARISAIG,ARG,100049,Arisaig,0,166418,786740
MORAR,MORAR,MRR,100050,Morar,0,167784,792921
MALLAIG,MLAIG,MLG,100051,Mallaig,0,167534,797038
LOCHAILORT,LCHALRT,LCL,100052,Lochailort,0,176898,782633
BEASDALE,BEASDAL,BSL,100053,Beasdale,0,170925,785059
OBAN,OBAN,OBN,100054,Oban,0,185748,729868
GLENFINNAN,GLNFNNN,GLF,100055,Glenfinnan,0,189876,780987
CONNEL FERRY,CONNELF,CON,100056,Connel Ferry,0,191614,734053
LOCHEILSIDE,LCHESDE,LCS,100057,Locheilside,0,199488,778662
FALLS OF CRUACHAN,FLSCRHN,FOC,100058,Falls of Cruachan,0,207960,726775
TAYNUILT,TAYNULT,TAY,100059,Taynuilt,0,200289,731232
LOCH EIL OUTWARD BOUND,LCEILOB,LHE,100060,Loch Eil Outward Bound,0,205434,778315
CORPACH,CORPACH,CPA,100061,Corpach,0,209703,776708
LOCH AWE,LOCHAWE,LHA,100062,Loch Awe,0,212415,727450
DALMALLY,DLMALLY,DAL,100063,Dalmally,0,216000,727191
BANAVIE,BANAVIE,BNV,100065,Banavie,0,211275,776757
